year	instruction	class	student	score
Post-recitation_score_2017	No_Genie	Pair1_430	ST102	1
Post-recitation_score_2017	No_Genie	Pair1_430	ST103	1
Post-recitation_score_2017	No_Genie	Pair1_430	ST104	0.5
Post-recitation_score_2017	No_Genie	Pair1_430	ST105	0.545454545
Post-recitation_score_2017	No_Genie	Pair1_430	ST106	1
Post-recitation_score_2017	No_Genie	Pair1_430	ST107	0.954545455
Post-recitation_score_2017	No_Genie	Pair1_430	ST108	0.863636364
Post-recitation_score_2017	No_Genie	Pair1_430	ST109	0.954545455
Post-recitation_score_2017	No_Genie	Pair1_430	ST110	0.636363636
Post-recitation_score_2017	No_Genie	Pair1_430	ST111	0.818181818
Post-recitation_score_2017	No_Genie	Pair1_430	ST112	0.954545455
Post-recitation_score_2017	No_Genie	Pair1_430	ST113	0.727272727
Post-recitation_score_2017	No_Genie	Pair1_430	ST114	0.863636364
Post-recitation_score_2017	No_Genie	Pair1_430	ST115	0.954545455
Post-recitation_score_2017	No_Genie	Pair1_430	ST116	0.954545455
Post-recitation_score_2017	No_Genie	Pair1_430	ST117	1
Post-recitation_score_2017	No_Genie	Pair2_300	ST207	0.954545455
Post-recitation_score_2017	No_Genie	Pair2_300	ST208	0.954545455
Post-recitation_score_2017	No_Genie	Pair2_300	ST209	0.909090909
Post-recitation_score_2017	No_Genie	Pair2_300	ST210	1
Post-recitation_score_2017	No_Genie	Pair2_300	ST211	1
Post-recitation_score_2017	No_Genie	Pair2_300	ST212	0.590909091
Post-recitation_score_2017	No_Genie	Pair2_300	ST213	0.863636364
Post-recitation_score_2017	No_Genie	Pair2_300	ST214	0.727272727
Post-recitation_score_2017	No_Genie	Pair2_300	ST215	0.636363636
Post-recitation_score_2017	No_Genie	Pair2_300	ST216	0.954545455
Post-recitation_score_2017	No_Genie	Pair2_300	ST217	1
Post-recitation_score_2017	No_Genie	Pair2_300	ST218	1
Post-recitation_score_2017	No_Genie	Pair2_300	ST219	1
Post-recitation_score_2017	No_Genie	Pair2_300	ST220	0.909090909
Post-recitation_score_2017	No_Genie	Pair2_300	ST221	1
Post-recitation_score_2017	No_Genie	Pair2_300	ST222	1
Post-recitation_score_2017	No_Genie	Pair2_300	ST223	1
Post-recitation_score_2017	No_Genie	Pair2_300	ST224	0.818181818
Post-recitation_score_2017	No_Genie	Pair2_300	ST225	0.545454545
Post-recitation_score_2017	No_Genie	Pair2_300	ST226	0.954545455
Post-recitation_score_2017	No_Genie	Pair2_300	ST227	1
Post-recitation_score_2017	No_Genie	Pair2_300	ST228	0.909090909
Post-recitation_score_2017	No_Genie	Pair2_300	ST229	0.909090909
Post-recitation_score_2017	No_Genie	Pair2_300	ST230	0.954545455
Post-recitation_score_2017	No_Genie	Pair2_300	ST231	0.863636364
Post-recitation_score_2017	No_Genie	Pair2_300	ST232	0.590909091
Post-recitation_score_2017	No_Genie	Pair2_300	ST233	0.954545455
Post-recitation_score_2017	No_Genie	Pair2_300	ST234	0.954545455
Post-recitation_score_2017	No_Genie	Pair2_300	ST235	0.909090909
Post-recitation_score_2017	No_Genie	Pair2_300	ST236	0.772727273
Post-recitation_score_2017	No_Genie	Pair2_300	ST237	0.272727273
Post-recitation_score_2017	No_Genie	Pair2_300	ST238	0.818181818
Post-recitation_score_2017	No_Genie	Pair2_300	ST239	0.954545455
Post-recitation_score_2017	No_Genie	Pair2_300	ST240	0.909090909
Post-recitation_score_2017	No_Genie	Pair2_300	ST241	1
Post-recitation_score_2017	No_Genie	Pair2_300	ST242	0.863636364
Post-recitation_score_2017	No_Genie	Pair2_300	ST243	0.954545455
Post-recitation_score_2017	No_Genie	Pair2_300	ST244	1
Post-recitation_score_2017	No_Genie	Pair2_300	ST245	0.590909091
Post-recitation_score_2017	No_Genie	Pair2_300	ST246	0.727272727
Post-recitation_score_2017	No_Genie	Pair2_300	ST247	0.909090909
Post-recitation_score_2017	No_Genie	Pair2_300	ST248	0.909090909
Post-recitation_score_2017	No_Genie	Pair2_300	ST249	1
Post-recitation_score_2017	No_Genie	Pair2_300	ST250	0.909090909
Post-recitation_score_2017	No_Genie	Pair2_430	ST251	0.772727273
Post-recitation_score_2017	No_Genie	Pair2_430	ST252	0.5
Post-recitation_score_2017	No_Genie	Pair2_430	ST253	1
Post-recitation_score_2017	No_Genie	Pair2_430	ST254	1
Post-recitation_score_2017	No_Genie	Pair2_430	ST255	0.909090909
Post-recitation_score_2017	No_Genie	Pair2_430	ST256	0.909090909
Post-recitation_score_2017	No_Genie	Pair2_430	ST257	0.954545455
Post-recitation_score_2017	No_Genie	Pair2_430	ST258	0.954545455
Post-recitation_score_2017	No_Genie	Pair2_430	ST259	0.772727273
Post-recitation_score_2017	No_Genie	Pair2_430	ST260	0.727272727
Post-recitation_score_2017	No_Genie	Pair2_430	ST261	0.863636364
Post-recitation_score_2017	No_Genie	Pair2_430	ST262	0.909090909
Post-recitation_score_2017	No_Genie	Pair2_430	ST263	0.772727273
Post-recitation_score_2017	No_Genie	Pair2_430	ST264	0.681818182
Post-recitation_score_2017	No_Genie	Pair2_430	ST265	0.772727273
Post-recitation_score_2017	No_Genie	Pair2_430	ST266	0.818181818
Post-recitation_score_2017	No_Genie	Pair2_430	ST267	0.909090909
Post-recitation_score_2017	No_Genie	Pair2_430	ST268	0.909090909
Post-recitation_score_2017	No_Genie	Pair2_430	ST269	0.863636364
Post-recitation_score_2017	No_Genie	Pair2_430	ST270	0.454545455
Post-recitation_score_2017	No_Genie	Pair2_430	ST271	0.909090909
Post-recitation_score_2017	No_Genie	Pair2_430	ST272	0.727272727
Post-recitation_score_2017	No_Genie	Pair2_430	ST273	0.772727273
Post-recitation_score_2017	No_Genie	Pair2_430	ST274	0.590909091
Post-recitation_score_2017	No_Genie	Pair2_430	ST275	0.909090909
Post-recitation_score_2017	No_Genie	Pair2_430	ST276	0.454545455
Post-recitation_score_2017	No_Genie	Pair2_430	ST277	0.818181818
Post-recitation_score_2017	No_Genie	Pair2_430	ST278	1
Post-recitation_score_2017	No_Genie	Pair2_430	ST279	0.5
Post-recitation_score_2017	No_Genie	Pair2_430	ST280	0.681818182
Post-recitation_score_2017	No_Genie	Pair2_430	ST281	0.772727273
Post-recitation_score_2017	No_Genie	Pair2_430	ST282	1
Post-recitation_score_2017	No_Genie	Pair2_430	ST283	1
Post-recitation_score_2017	No_Genie	Pair2_430	ST284	0.727272727
Post-recitation_score_2017	No_Genie	Pair2_430	ST285	0.590909091
Post-recitation_score_2017	No_Genie	Pair2_430	ST286	0.863636364
