Participant	time	Gender	First_Gen	Bio340_at_ASU	Ethnicity	RecitationPair_Time	score
ST119	.pre_recitation	F	N	Y	POC	Pair1_300	0.590909091
ST12	.pre_recitation	F	N	Y	POC	Pair2_600	0.545454545
ST137	.pre_recitation	F	N	Y	POC	Pair1_300	0.818181818
ST14	.pre_recitation	F	Y	Y	POC	Pair2_730	0.363636364
ST146	.pre_recitation	F	N	Y	POC	Pair1_300	0.818181818
ST156	.pre_recitation	F	N	Y	POC	Pair1_600	0.863636364
ST160	.pre_recitation	M	N	Y	POC	Pair2_430	0.636363636
ST164	.pre_recitation	M	Y	Y	POC	Pair2_600	0.772727273
ST172	.pre_recitation	F	N	Y	POC	Pair2_300	0.681818182
ST174	.pre_recitation	F	N	Y	POC	Pair1_300	0.954545455
ST184	.pre_recitation	M	N	Y	POC	Pair1_600	0.909090909
ST191	.pre_recitation	F	N	Y	POC	Pair2_300	0.818181818
ST198	.pre_recitation	M	N	Y	POC	Pair2_730	0.681818182
ST26	.pre_recitation	M	Y	Y	POC	Pair2_600	0.454545455
ST27	.pre_recitation	F	Y	Y	POC	Pair2_430	0.5
ST38	.pre_recitation	F	Y	Y	POC	Pair2_730	0.545454545
ST45	.pre_recitation	M	Y	Y	POC	Pair1_730	0.5
ST53	.pre_recitation	M	Y	Y	POC	Pair1_430	0.5
ST56	.pre_recitation	M	N	Y	POC	Pair2_430	0.5
ST58	.pre_recitation	M	N	Y	POC	Pair2_600	0.5
ST59	.pre_recitation	F	Y	Y	POC	Pair2_430	0.5
ST75	.pre_recitation	M	N	Y	POC	Pair2_430	0.590909091
ST97	.pre_recitation	F	N	Y	POC	Pair1_430	0.636363636
ST110	post_recitation	F	N	Y	POC	Pair2_430	0.772727273
ST119	post_recitation	F	N	Y	POC	Pair1_300	0.818181818
ST12	post_recitation	F	N	Y	POC	Pair2_600	0.545454545
ST137	post_recitation	F	N	Y	POC	Pair1_300	0.863636364
ST14	post_recitation	F	Y	Y	POC	Pair2_730	0.545454545
ST146	post_recitation	F	N	Y	POC	Pair1_300	0.909090909
ST156	post_recitation	F	N	Y	POC	Pair1_600	0.909090909
ST160	post_recitation	M	N	Y	POC	Pair2_430	0.909090909
ST164	post_recitation	M	Y	Y	POC	Pair2_600	0.954545455
ST172	post_recitation	F	N	Y	POC	Pair2_300	0.954545455
ST174	post_recitation	F	N	Y	POC	Pair1_300	0.954545455
ST184	post_recitation	M	N	Y	POC	Pair1_600	0.954545455
ST191	post_recitation	F	N	Y	POC	Pair2_300	1
ST198	post_recitation	M	N	Y	POC	Pair2_730	1
ST26	post_recitation	M	Y	Y	POC	Pair2_600	0.5
ST27	post_recitation	F	Y	Y	POC	Pair2_430	0.545454545
ST38	post_recitation	F	Y	Y	POC	Pair2_730	0.727272727
ST45	post_recitation	M	Y	Y	POC	Pair1_730	0.272727273
ST53	post_recitation	M	Y	Y	POC	Pair1_430	0.454545455
ST56	post_recitation	M	N	Y	POC	Pair2_430	0.5
ST58	post_recitation	M	N	Y	POC	Pair2_600	0.545454545
ST59	post_recitation	F	Y	Y	POC	Pair2_430	0.545454545
ST75	post_recitation	M	N	Y	POC	Pair2_430	0.636363636
ST97	post_recitation	F	N	Y	POC	Pair1_430	0.727272727
